system_type,test_case,input_text,expected_values,actual_values,accuracy,response_time,cpu_usage,memory_usage,test_category,has_errors
new,Print命令中文,Print 当前状态正常,[],[],1.0,0.0,8.6,48.0,print_function,False
new,Print命令英文,Print system status is normal,[],[],1.0,0.0011970996856689453,11.1,47.9,print_function,False
new,Print命令包含数字,Print 温度二十五点五度,[],[],1.0,0.0028786659240722656,1.0,48.0,print_function,False
new,纯中文描述,当前状态正常,[],[],1.0,0.00299072265625,5.7,47.9,print_function,False
new,纯英文描述,system is running normally,[],[],1.0,0.0,5.3,47.9,print_function,False
new,设备状态描述,测量设备已连接,[],[],1.0,0.0,6.7,47.9,print_function,False
new,Print警告信息,Print 警告：设备异常,[],[],1.0,0.00033545494079589844,1.8,47.9,print_function,False
new,Print错误信息,Print ERROR: Connection failed,[],[],1.0,0.0005018711090087891,6.8,47.9,print_function,False
new,Print带时间戳,Print 时间戳 2024-01-01 10:30:00,[],[],1.0,0.001409769058227539,8.3,47.9,print_function,False
new,Print复杂格式,Print 测量值：温度25.5°C，湿度65%,[],[],1.0,0.002164602279663086,21.1,47.9,print_function,False
